Model,precision,recall,f1-score,support
Random Forest,0.65,0.88,0.75,104.0
Random Forest,0.75,0.32,0.44,38.0
Random Forest,0.6,0.41,0.49,22.0
Random Forest,0.85,0.85,0.85,26.0
Random Forest,0.55,0.43,0.48,28.0
Random Forest,0.67,0.67,0.67,0.6697247706422018
Random Forest,0.68,0.57,0.6,218.0
Random Forest,0.67,0.67,0.65,218.0
1D CNN L2=0.01,0.69,0.9,0.78,104.0
1D CNN L2=0.01,0.42,0.29,0.34,38.0
1D CNN L2=0.01,0.9,0.86,0.88,22.0
1D CNN L2=0.01,0.89,0.62,0.73,26.0
1D CNN L2=0.01,0.65,0.39,0.49,28.0
1D CNN L2=0.01,0.69,,,218.0
1D CNN L2=0.01,0.71,0.61,0.65,218.0
1D CNN L2=0.01,0.68,0.69,0.67,218.0
1D CNN L2=0.1,0.64,0.9,0.75,104.0
1D CNN L2=0.1,0.1,0.03,0.04,38.0
1D CNN L2=0.1,0.77,0.91,0.83,22.0
1D CNN L2=0.1,1.0,0.62,0.76,26.0
1D CNN L2=0.1,0.72,0.46,0.57,28.0
1D CNN L2=0.1,0.66,,,218.0
1D CNN L2=0.1,0.65,0.58,0.59,218.0
1D CNN L2=0.1,0.61,0.66,0.61,218.0
